TotalSqFeet,TotBathroom,OverallQual,GarageCars,Age,SalePrice
3052,3.5,7,2,10,214000
2880,4,4,0,30,150000
3264,2,5,2,40,143000
2163,1.5,6,2,51,137500
2957,1,5,2,13,124900
2288,2,5,1,47,143000
3245,3,8,3,4,270000
2712,2.5,7,2,4,192500
2542,2.5,6,2,4,197500
1728,2,5,2,5,129000
1793,2,5,1,41,119900
1536,1.5,5,1,6,133900
2752,3,5,2,39,172000
1925,3,6,0,31,127500
2937,2,6,2,57,145000
1790,1.5,6,2,29,124000
2114,1,5,2,45,132000
2674,3,7,2,4,185000
2112,3.5,7,2,11,155000
1716,2,5,0,2,116500
4202,3.5,6,2,13,272000
2352,3.5,6,2,31,155000
3600,2,9,2,2,239000
2711,3.5,7,2,7,214900
2267,2.5,6,2,0,178900
2036,2.5,5,1,59,160000
2196,2,5,1,53,135000
1568,1,3,0,59,37900
1683,2,6,1,48,140000
1912,1.5,4,0,56,135000
2390,2,7,2,5,173000
1836,2,6,1,31,99500
2856,2,7,2,0,182000
2747,1,7,2,16,167500
2055,3.5,7,2,6,165000
1309,1,4,0,48,85500
2482,2.5,7,2,0,199900
1788,1,4,2,53,110000
2242,2,5,2,46,139000
1943,2,7,2,1,178400
3837,3.5,8,3,10,336000
2532,2,7,2,1,159895
3418,2.5,8,2,6,255900
1734,2,5,2,32,126000
2328,2,5,1,58,125000
2120,1,6,1,3,117000
3870,3.5,9,3,0,395192
2878,2.5,6,2,31,195000
2346,2.5,7,2,0,197000
3788,3.5,8,3,8,348000
2658,1.5,8,2,23,168000
2673,2.5,6,2,14,187000
2250,2.5,6,2,0,173900
3418,3,10,3,2,337500
1977,2.5,4,1,56,121600
2100,2,5,1,45,136500
2884,2,6,2,39,185000
2084,1,3,1,56,91000
2395,3,7,2,4,206000
944,1,3,2,57,82000
1382,1,5,1,57,86000
3148,2,8,3,2,232000
3360,2,5,2,31,136905
2850,2,7,2,3,181000
1970,2,5,1,31,149900
3314,2.5,6,2,37,163500
1638,1.5,4,1,39,88000
3420,2,7,2,4,240000
2530,2,5,0,56,102000
1991,2,5,1,58,135000
1664,2,5,0,45,100000
2104,1.5,6,1,11,165000
2044,2,5,1,3,85000
2164,1,6,1,57,119200
2475,3.5,8,2,8,227000
3008,3,7,2,13,203000
2580,2,8,2,25,187500
1856,2.5,7,2,15,160000
2868,2,7,2,1,213490
2264,2.5,4,2,3,176000
2419,3,7,2,0,194000
2160,1,5,1,57,87000
2850,2,7,2,2,191000
4463,3,8,2,32,287000
1764,2,5,2,35,112500
2532,2,5,2,50,167500
3284,3,8,3,0,293077
2144,2,5,1,57,105000
1890,2,6,1,34,118000
2614,2,5,0,11,160000
3906,3.5,7,2,39,197000
3858,3.5,8,3,13,310000
3308,3,7,3,4,230000
1874,1,5,1,57,119750
845,1,4,1,52,84000
3240,3,9,3,1,315500
3318,2.5,8,2,6,287000
1890,1.5,4,0,1,97000
1260,2,4,1,39,80000
2937,3,5,2,6,155000
2432,2,6,2,8,173000
2612,3,6,2,4,196000
3804,3.5,7,2,18,262280
5048,3.5,8,2,28,278000
1733,2,3,2,54,139600
4860,3.5,9,3,0,556581
1980,1.5,5,2,13,145000
1771,1,5,2,3,115000
930,1,4,1,4,84900
2604,2,7,2,0,176485
2632,2,7,2,0,200141
2793,2,6,2,29,165000
2742,1,5,1,8,144500
3054,3.5,8,2,4,255000
2716,2.5,6,2,32,180000
2728,3,7,2,1,185850
2823,2.5,7,2,15,248000
3288,3.5,9,3,1,335000
2845,1.5,6,2,57,220000
2676,3,8,2,9,213500
1788,1,3,3,58,81000
2999,2,5,2,57,90000
2206,1,6,2,26,110500
2308,1.5,5,2,43,154000
3566,3.5,7,2,13,328000
2370,2.5,6,2,15,178000
2391,2.5,6,2,44,167900
3463,3.5,6,2,33,151400
1738,1.5,5,2,4,135000
2096,2,5,1,51,135000
2283,1.5,6,2,41,154000
2266,2.5,5,1,56,91500
2116,1.5,6,2,32,159500
2480,2,7,3,1,194000
2540,1.5,7,1,23,219500
2262,2.5,5,2,17,170000
2192,2,5,1,37,138800
1696,2,6,2,2,155900
1980,1,5,1,13,126000
2516,2.5,6,2,4,145000
2080,2.5,5,1,47,133000
2918,2,7,2,5,192000
2502,2,6,1,42,160000
2189,2.5,6,2,10,187500
1932,2,6,2,18,147000
1638,1.5,4,1,37,83500
3035,2.5,8,3,3,252000
2679,2,7,2,2,137500
2494,2.5,8,2,1,197000
1040,2,3,2,59,92900
1852,3.5,7,2,8,160000
2875,2,6,2,58,136500
2064,2.5,5,2,8,146000
1872,2,5,1,10,129000
2628,2,6,2,1,176432
2039,1.5,6,0,1,127000
2162,1.5,8,2,21,170000
1996,1,4,1,59,128000
2872,2,7,2,31,157000
728,1,2,1,59,60000
1900,1,5,1,36,119500
2144,1,5,1,5,135000
1849,1.5,6,2,47,159500
1932,2.5,5,2,37,106000
4085,3.5,8,2,15,325000
2352,3,7,2,16,179900
2889,2.5,7,2,0,274725
2614,2.5,6,2,7,181000
3672,3,8,3,4,280000
2431,3.5,6,2,12,188000
2767,2.5,7,2,32,205000
1632,2,5,1,49,129900
2016,2,5,1,1,134500
1666,1,5,1,6,117000
3468,3,8,3,0,318000
1827,3.5,8,2,7,184100
1788,2,5,2,5,130000
2134,1.5,5,1,21,140000
2080,1,5,1,47,133700
2024,1,6,1,57,118400
3104,2,7,3,0,212900
1632,1,4,1,53,112000
1396,1.5,5,0,1,118000
1866,2.5,7,2,15,163900
2010,1,4,2,54,115000
2928,2,7,3,2,174000
3060,3,7,3,3,259000
2806,2.5,7,2,2,215000
1872,2,5,2,27,140000
3103,3,4,2,59,135000
1948,1,5,0,15,93500
3218,2,6,1,57,117500
3148,2.5,8,2,14,239500
2516,2.5,6,2,10,169000
1946,1,6,1,57,102000
2284,1,6,1,58,119000
1800,1,5,0,14,94000
3134,3,6,2,32,196000
2082,1,5,2,57,144000
1904,2,5,2,57,139000
2648,3.5,5,2,33,197500
4294,4,8,3,0,424870
2012,1,5,0,49,80000
1596,2,4,1,60,80000
2618,1,5,1,56,149000
2596,3,6,2,21,180000
2268,1.5,7,1,59,174500
1683,1,7,1,58,116900
2132,1.5,7,2,21,143000
1864,1,6,1,57,124000
2932,1.5,5,2,47,149900
2884,1,6,2,2,230000
1632,1,6,1,1,120500
2684,2,7,2,20,201800
2874,3,5,2,3,218000
2484,2.5,5,2,9,179900
2628,3,7,2,1,230000
3160,2,8,3,0,235128
2777,2.5,6,2,34,185000
2311,2.5,6,2,32,146000
2936,2,6,2,2,224000
1788,1,5,2,39,129000
2456,3,4,2,39,108959
2792,2.5,5,2,29,194000
3004,2,7,2,0,233170
3388,2,8,3,2,245350
2630,3.5,6,2,6,173000
3235,2,6,2,22,235000
5557,4.5,10,3,10,625000
2214,2,6,1,31,171000
2522,2,6,2,50,163000
1875,2.5,7,2,1,171900
4684,3,5,0,13,200500
3297,2.5,6,2,56,239000
4555,2.5,8,2,7,285000
1799,2,5,1,23,119500
2042,1,6,1,5,115000
2074,1.5,5,1,59,154900
1124,1,5,0,52,93000
3730,2.5,7,2,15,250000
3252,3.5,8,2,0,392500
6872,4.5,10,3,11,745000
2250,2,5,2,56,120000
3144,2.5,5,3,44,186700
2005,2,5,1,56,104900
2677,3,3,2,39,95000
3248,3,8,3,11,262000
2491,2.5,7,2,7,195000
2798,2.5,7,2,11,189000
2871,2,4,4,32,168000
2217,2.5,8,2,7,174000
2174,1,5,1,13,125000
2448,3,6,2,10,165000
2015,1.5,6,1,41,158000
2184,2.5,6,2,3,176000
2742,2.5,7,3,0,219210
2505,1,7,1,56,144000
2424,2,7,2,8,178000
2433,1.5,4,2,27,148000
1728,1,4,1,36,116050
2645,2.5,7,2,11,197900
2232,2,5,1,12,117000
3260,2,7,2,8,213000
2130,2.5,5,2,31,153500
4354,2,7,3,18,271900
2112,2,4,1,40,107000
3382,3,6,2,3,200000
2214,2,5,2,28,140000
3320,3,8,2,0,290000
2900,2.5,6,2,18,189000
2311,2,8,2,5,164000
1344,2,4,1,59,113000
1608,1.5,4,1,5,145000
1924,2,5,1,44,134500
1788,1,5,1,41,125000
1902,2,6,2,32,112000
2614,3,8,2,0,229456
912,1,4,0,56,80500
1890,1.5,6,0,35,91500
1824,1,5,1,42,115000
2163,1,5,1,40,134000
2886,2,6,1,57,143000
4272,2,5,2,55,137900
2278,3.5,7,2,3,184000
1726,1.5,6,1,49,145000
2827,2.5,6,3,1,214000
1824,2,5,2,0,147000
3404,2.5,9,3,0,367294
2582,2,5,1,48,127000
3981,3,5,2,30,190000
2296,2,5,2,44,132500
1224,2,4,2,45,101800
2376,2,5,2,51,142000
2904,1.5,5,0,58,130000
2531,1.5,5,1,56,138887
2390,2.5,7,2,7,175500
2795,2.5,7,2,1,195000
2282,1.5,6,2,1,142500
2960,2,8,2,1,265900
2652,3.5,7,2,5,224900
3378,2,7,3,0,248328
2226,3,7,2,36,170000
4152,3.5,10,3,0,465000
2309,1,8,2,56,230000
2453,3.5,6,2,4,178000
2309,2.5,7,2,0,186500
2046,2,6,3,34,169900
2793,1.5,6,2,58,129500
1864,1,5,1,57,119000
4220,3.5,7,2,42,244000
2810,2,7,2,3,171750
1738,2,5,1,41,130000
3359,3.5,7,2,4,294000
2402,2.5,7,2,4,165400
2251,1,6,1,57,127500
3973,3,8,2,14,301500
1728,1,5,0,59,99900
2022,3,7,2,3,190000
2108,2.5,6,2,39,151000
2516,2.5,6,2,10,181000
2100,1,5,1,53,128900
2892,2,4,1,20,161500
2588,1,6,2,57,180500
2742,3,6,2,9,181000
2143,3.5,7,2,7,183900
2814,1.5,7,1,57,122000
4020,2,9,3,1,378500
4175,3.5,8,3,11,381000
2398,1.5,5,1,49,144000
2856,2.5,7,2,31,260000
2978,2,6,2,41,185750
1870,2,5,1,41,137000
2376,2,6,1,2,177000
1911,2,5,2,4,139000
2848,2,5,2,57,137000
2118,2,6,2,37,162000
3404,2.5,6,2,33,197900
3159,3.5,8,2,6,237000
1826,1,4,2,60,68400
3146,3,7,2,7,227000
2648,3,7,2,16,180000
2080,2,5,2,1,150500
2736,3,6,0,39,139000
3251,2,6,1,20,169000
2192,1,6,1,59,132500
2656,2.5,6,2,47,143000
3206,2.5,5,2,42,190000
3160,3,8,2,9,278000
3055,2.5,8,3,0,281000
2304,2,5,2,46,180500
1932,2.5,5,1,37,119500
3366,2,5,1,44,107500
2496,2.5,7,2,30,162900
1728,2,5,2,16,115000
2104,2.5,5,1,38,138500
2248,3,5,2,45,155000
1619,3,6,2,0,140000
11752,4.5,10,2,0,160000
2492,2.5,5,1,16,154000
2961,2.5,7,2,10,225000
2265,1,6,1,59,177500
3691,3.5,8,3,12,290000
3232,2,7,3,1,232000
2684,2,7,2,2,130000
3304,3,9,2,2,325000
2736,2,7,2,0,202500
1980,2,5,2,14,138000
2046,2,5,2,3,147000
2572,3,6,2,17,179200
3804,3,7,2,8,335000
2548,3,7,2,0,203000
4263,2.5,8,2,17,302000
3992,2.5,9,3,11,333168
1896,2,4,1,53,119000
3064,2.5,6,2,39,206900
3252,3,8,3,1,295493
2704,2,7,2,0,208900
3540,2,8,3,4,275000
1812,1,4,1,53,111000
2956,2.5,6,2,52,156500
720,1,3,1,58,72500
2673,3.5,7,2,18,190000
1128,1,4,0,59,82500
3590,2,8,3,0,147000
1592,1,4,0,58,55000
1318,1,3,0,1,79000
1632,1.5,5,1,0,130500
4302,2,6,2,58,256000
2567,2.5,7,2,8,176500
3176,2,8,3,1,227000
1865,1,5,2,30,132500
1632,2,4,1,51,100000
2163,1.5,5,1,11,125500
2130,1.5,5,2,39,125000
2684,2.5,6,2,32,167900
3312,2,5,2,35,135000
1386,1,4,0,56,52500
2777,3.5,7,2,4,200000
1728,1,5,1,34,128500
1730,1,4,4,36,123000
2228,2,6,2,4,155000
3453,2.5,8,2,5,228500
2809,1.5,6,2,59,177000
2184,2.5,7,2,1,155835
1920,1,4,1,57,108500
3724,2,7,2,3,262500
3508,3,8,3,0,283463
2976,3,7,2,9,215000
3042,2,8,0,21,122000
3882,4.5,5,4,40,200000
2574,1.5,6,2,46,171000
1874,1,6,2,9,134900
5271,3.5,8,3,14,410000
2857,3.5,7,3,8,235000
2490,3,7,2,14,170000
1756,1,5,1,42,110000
2156,2.5,5,2,2,149900
2329,2.5,6,2,10,177500
3960,3,9,3,1,315000
3213,3.5,5,2,10,189000
3060,3,7,2,4,260000
2453,2,4,1,2,104900
2028,2.5,6,2,0,156932
1800,2.5,7,2,1,144152
2488,3.5,7,2,10,216000
2663,3.5,7,2,9,193000
2232,2,5,1,29,127000
1696,2,6,2,5,144000
3325,3,8,2,7,232000
2214,1,4,1,59,105000
2653,2,6,1,12,165500
3205,3.5,7,2,8,274300
5266,3.5,10,3,5,466500
2984,2.5,7,3,3,250000
3142,2,8,3,0,239000
1558,1,6,1,58,91000
2588,2,5,2,49,117000
1470,1.5,6,1,33,83000
1778,2.5,5,2,1,167500
1728,2,3,1,60,58500
3322,2.5,6,2,38,237500
2358,2.5,7,2,56,157000
2232,2,5,2,0,112000
1818,1,6,1,59,105000
1950,2,4,1,3,125500
4176,4.5,7,2,28,250000
3240,2,6,1,57,136000
3492,3,9,3,2,377500
1953,1.5,6,2,57,131000
3050,3,7,2,6,235000
3168,2,5,3,42,124000
1764,2,5,1,39,123000
2394,2,6,2,8,163000
2856,3,7,3,0,246578
3576,2.5,8,3,1,281213
2434,2,5,2,60,160000
2452,1.5,5,1,3,137500
3112,2.5,5,1,27,138000
2584,2.5,6,1,19,137450
2020,1,6,1,58,120000
2432,3.5,6,2,4,193000
2580,2,7,2,0,193879
2949,3,8,3,0,282922
1886,1,3,3,56,105000
3240,3.5,8,2,3,275000
1536,2,5,2,2,133000
1666,2,5,0,24,112000
1985,1,4,2,60,125500
2884,2.5,7,2,17,215000
2784,3.5,7,2,8,230000
2524,1.5,6,1,4,140000
1040,2,4,2,59,90000
3688,3,8,2,3,257000
2681,1.5,6,2,8,207000
2955,2.5,7,3,2,175900
3067,2,4,2,60,122500
3734,3.5,8,3,11,340000
2288,2.5,5,1,45,124000
3688,3,6,2,37,223000
2124,2.5,6,2,38,179900
2138,2,6,2,33,127500
1696,2,6,2,5,136500
2898,2,6,2,40,274970
2368,2,5,1,24,144000
2504,1,6,2,49,142000
3350,3.5,7,2,14,271000
2471,2.5,5,1,58,140000
1592,2,5,1,18,119000
2880,2,6,2,26,182900
2570,2.5,5,2,1,192140
1916,2,6,2,33,143750
1624,2,4,1,0,64500
2728,3.5,6,2,8,186500
2252,3,5,2,29,160000
2856,2.5,6,2,3,174000
1728,1,4,2,36,120500
3864,3,8,3,0,394617
2148,2,6,2,14,149700
2264,2.5,7,2,28,197000
3143,2,6,2,14,191000
1696,2,6,2,4,149300
3024,3.5,10,3,1,310000
1904,1,6,1,59,121000
2844,2,7,2,3,179600
1727,2,6,1,41,129000
2376,1,5,1,48,157900
3310,3.5,8,2,11,240000
1906,1.5,4,1,7,112000
1260,2,5,0,36,92000
2688,3,5,0,35,136000
3151,2,8,3,0,287090
1619,2,5,2,1,145000
2280,1,5,0,0,84500
2442,3,7,2,4,185000
2600,2.5,6,2,7,175000
3615,3,6,2,22,210000
3492,2,7,1,4,266500
2156,2,5,1,14,142125
2512,2.5,5,1,43,147500
1778,1,5,1,49,
2658,1.5,6,1,52,
2557,2.5,5,2,12,
2530,2.5,6,2,12,
2560,2,8,2,18,
2418,2.5,6,2,16,
2355,3,6,2,3,
2254,2.5,6,2,12,
2641,2.5,7,2,20,
1764,2,4,2,40,
2742,3,7,2,11,
1470,1.5,6,1,39,
1617,1.5,5,1,39,
2311,2.5,6,2,35,
1672,1,7,1,35,
3924,2.5,9,3,0,
3088,2,8,3,0,
3396,2,9,3,5,
3644,2,8,3,4,
5542,3.5,9,3,6,
3921,3.5,8,3,8,
2740,2,8,2,4,
2648,2,6,2,5,
2290,2,7,2,4,
1758,3.5,7,2,6,
2580,2.5,7,2,6,
4104,2.5,8,3,12,
3190,2,8,3,4,
2436,2,7,2,0,
2936,3,6,2,5,
2490,2.5,7,2,6,
1828,1,5,1,60,
2702,3,6,2,8,
3580,3.5,8,3,17,
3615,3.5,8,3,17,
2976,3,7,2,5,
2520,2.5,7,2,6,
1800,2.5,7,2,6,
1800,3.5,7,2,5,
1836,3.5,6,2,5,
2268,3.5,6,2,10,
1610,2.5,7,2,7,
3060,2.5,8,3,0,
2823,3.5,8,2,10,
2984,3,7,2,8,
3658,3,6,2,43,
3775,3.5,6,2,17,
3115,3.5,6,2,32,
2360,2,6,2,39,
2464,2.5,5,2,44,
2418,2,5,2,44,
3020,3,5,2,43,
2308,2,6,2,46,
3456,4,5,0,9,
3601,2,5,2,8,
2338,2,6,2,60,
2208,2,6,1,2,
3208,2,5,2,52,
2960,3,7,2,1,
2286,2,5,1,51,
2412,1,5,1,51,
2824,2.5,6,2,51,
2169,1,4,1,54,
1928,1.5,5,1,58,
1944,1,5,1,55,
1976,2,5,1,52,
1561,1.5,4,2,16,
2040,2,6,1,6,
2350,1.5,5,2,50,
2790,2,6,2,26,
2553,2,4,1,56,
1872,2,5,0,60,
2694,2.5,5,2,53,
2078,1,6,1,10,
2660,1,5,1,1,
2253,1,5,1,48,
1510,1,2,2,40,
2496,2,8,1,7,
2614,3,8,2,8,
3096,2,5,0,60,
2208,1.5,6,2,16,
2600,1.5,5,1,13,
3176,1.5,7,1,5,
1530,2,4,1,60,
1740,2,6,1,60,
1768,2,6,2,60,
2288,1.5,5,1,60,
2196,1.5,6,1,60,
1568,1,5,2,30,
2464,2,5,2,60,
2192,2,6,1,60,
2850,1.5,4,2,60,
2340,1.5,6,0,1,
1986,1.5,6,1,17,
3097,2,5,1,51,
1913,1.5,5,1,60,
2604,2,5,0,60,
1519,1,6,1,60,
2591,1.5,4,0,60,
2536,3,5,2,60,
3664,4,4,0,43,
1756,2,5,1,2,
1728,2,5,1,42,
2692,2,5,2,32,
2160,1.5,5,2,42,
2903,2.5,7,2,9,
1416,1,4,2,60,
3098,3.5,6,2,18,
2582,2.5,3,1,20,
1737,2,6,1,23,
2287,1,4,1,31,
2344,2,5,1,12,
3016,2,7,2,0,
2548,2,5,2,46,
2866,2.5,7,2,23,
2748,3,6,4,17,
2444,2,7,2,0,
2121,2,6,2,17,
1835,2,5,2,14,
2570,2.5,7,2,12,
2052,2.5,5,1,6,
1752,2,5,2,38,
3956,3.5,8,3,7,
3138,2.5,7,2,13,
1696,2,6,2,7,
640,1,3,1,3,
1373,1,5,1,56,
2392,2,5,1,42,
1864,1,4,2,60,
2104,2,6,1,35,
1920,1,4,0,52,
2403,2,5,1,11,
1712,2,6,2,60,
2650,3,4,0,43,
2560,2,5,0,60,
3661,2.5,7,1,25,
3209,2.5,5,2,19,
2075,3.5,7,2,3,
2016,2,8,2,21,
2382,2,8,2,21,
1020,1,2,1,60,
1736,1,6,1,35,
1708,1,4,1,60,
3240,3.5,8,2,5,
2965,3.5,8,3,11,
2528,2.5,6,2,33,
4006,3,6,2,34,
2682,3,7,3,2,
2428,2,7,2,0,
1828,2.5,5,2,3,
2332,2,5,2,33,
2860,2,5,2,5,
2688,2,5,2,11,
1890,2.5,5,1,37,
1638,1.5,4,0,40,
1638,1.5,4,0,40,
1638,1.5,4,1,38,
1738,1,5,1,6,
1666,2,5,2,26,
3648,5,5,2,24,
1898,1.5,5,2,19,
2343,2,5,1,41,
3482,4,8,2,15,
2949,3.5,6,2,16,
1764,1,6,1,53,
2868,3,6,2,35,
2553,2.5,6,2,12,
3291,2.5,8,3,6,
2012,2.5,7,2,12,
4730,3,8,2,4,
2896,3,8,2,11,
3321,3,8,2,13,
1766,2.5,7,2,11,
2588,3.5,6,2,10,
2223,3.5,6,2,14,
2371,2,6,2,16,
3056,3.5,5,2,32,
2882,2.5,7,2,31,
3098,2,6,2,23,
3716,2.5,7,2,18,
2847,2,6,2,11,
2810,3.5,7,2,6,
2932,2.5,8,2,8,
2783,2.5,8,2,7,
3242,3,5,2,34,
2232,3,6,2,35,
2369,2,7,2,34,
2360,1.5,5,2,39,
2093,2.5,5,1,38,
1728,2,4,2,39,
1728,1,4,2,3,
1470,2.5,6,1,36,
1470,2.5,6,1,37,
2352,2.5,6,2,33,
2112,2.5,7,2,34,
2311,2.5,6,2,32,
2352,3,6,2,31,
2311,2.5,6,2,31,
1672,1.5,7,1,33,
1984,1.5,5,2,5,
4548,4.5,9,3,2,
4055,3.5,9,3,0,
4040,3,9,3,1,
5304,4.5,10,3,2,
3472,2,9,3,1,
3564,3,8,3,4,
4028,3.5,8,3,2,
3482,3,9,3,1,
3035,3,9,3,3,
3582,3,9,3,1,
3520,3,7,2,5,
4904,4,9,3,6,
3482,3.5,8,3,5,
3204,2,8,3,3,
2716,2,6,2,4,
2612,3,6,2,4,
2708,3,7,2,1,
4984,3.5,10,3,4,
4400,3.5,8,3,5,
3768,3,9,2,0,
2907,2,9,2,1,
3424,3,8,3,6,
2810,2,7,2,6,
2184,2.5,7,2,4,
2235,2.5,6,2,3,
2440,2,7,2,3,
1758,2.5,7,2,4,
2498,2.5,7,2,4,
2440,2.5,7,2,5,
2271,3.5,7,2,6,
2040,3.5,7,2,6,
2874,3.5,8,3,7,
1758,2.5,7,2,5,
2308,3.5,6,2,9,
1814,2.5,7,2,9,
3489,3.5,7,3,10,
1814,2.5,7,2,10,
4142,3.5,8,3,9,
4087,3,8,3,14,
3131,3.5,7,2,13,
3405,3.5,8,2,15,
3392,2,8,3,1,
3272,2.5,8,3,1,
3404,3,8,3,2,
2854,2,8,2,3,
4948,3,9,3,3,
2872,2,7,2,0,
2804,2,7,2,1,
3060,2,9,3,1,
2820,2,8,2,2,
2695,3.5,8,3,3,
3672,2,8,2,0,
3314,3,7,3,2,
3106,3,7,2,5,
2465,3.5,7,2,6,
2436,1.5,7,2,2,
2282,2.5,7,2,3,
2316,1.5,6,0,5,
2647,2.5,7,2,5,
3024,2,8,3,5,
2228,1.5,7,2,4,
2228,1.5,5,0,5,
2228,3,5,2,5,
2900,2,7,3,0,
3035,3.5,7,2,12,
2546,2.5,6,2,17,
2664,2,6,2,18,
2294,3.5,7,2,15,
2076,2.5,6,2,23,
1882,2,6,2,28,
1960,2,5,2,47,
1728,2,5,2,48,
1728,1,5,1,48,
2044,2,5,1,44,
1824,2,5,1,14,
1824,1.5,5,1,47,
4028,3,8,3,29,
2730,3,7,2,1,
4381,2.5,7,3,4,
3452,2.5,6,2,1,
2401,2.5,6,2,1,
2268,3.5,6,2,9,
2143,3.5,7,2,10,
3388,3,8,2,1,
3480,1.5,7,2,28,
2891,2.5,8,2,33,
2819,2.5,7,2,35,
3572,2.5,6,2,12,
2624,2.5,5,2,40,
2432,2,6,1,40,
3196,2,7,2,17,
1728,1.5,5,1,42,
3136,1.5,5,2,42,
3226,3,7,2,35,
2552,2.5,6,2,38,
1788,2,4,2,49,
1728,1,5,1,50,
2402,2,4,3,52,
2776,3,5,2,53,
2626,2.5,5,2,14,
2584,2.5,5,2,45,
2884,2.5,5,2,44,
2784,2,6,2,48,
1920,2,5,1,54,
3371,2,6,2,42,
2906,3,6,2,48,
3129,3,6,2,1,
2313,2,5,1,53,
2658,1.5,7,2,49,
1976,3,6,1,11,
2404,1.5,5,1,53,
2764,1.5,5,1,54,
2400,2,4,1,53,
3732,2,5,2,51,
2124,2,6,1,55,
1743,1,5,2,58,
1586,2,5,1,59,
2062,2,5,1,4,
1210,1.5,5,1,56,
2226,2.5,7,2,10,
2400,1,5,1,59,
1584,1,3,1,51,
2028,2.5,5,2,3,
1444,1,4,1,6,
2132,1,5,1,59,
3690,2,4,2,59,
2250,2,7,2,1,
1015,2,2,0,59,
1566,1,5,2,59,
1355,1.5,3,1,11,
3792,3,6,3,40,
2760,1.5,6,1,46,
2080,2,6,2,42,
1902,2,6,2,2,
2210,1,6,1,52,
1302,1,6,1,51,
1928,1,6,2,59,
2082,1,5,1,51,
1464,2,5,1,57,
1711,2,5,1,50,
2293,2,4,1,13,
2359,1,6,2,15,
2586,1.5,6,2,45,
1882,2,5,2,31,
2090,2,6,1,46,
2279,1,6,1,11,
2916,3,6,2,59,
1546,1.5,5,2,6,
1968,2,5,0,7,
2248,1.5,5,2,59,
2301,2,4,0,59,
2248,1,5,0,59,
2096,1.5,5,1,39,
1722,1,4,2,59,
612,1,2,1,59,
1416,1,5,1,59,
2187,2,4,2,59,
2924,2,6,1,59,
1912,2,6,1,2,
1440,1,4,0,59,
2452,1,6,1,59,
2262,1,6,3,7,
1042,1,3,0,59,
2454,1,6,1,59,
1951,2,5,1,27,
1610,1,5,1,59,
1955,1,5,1,10,
2534,2,5,1,59,
2144,2,5,5,59,
2816,2,6,2,59,
2616,2,7,1,15,
3168,2,5,0,59,
2650,3,6,1,59,
1910,1,6,1,7,
2884,2.5,7,0,9,
2870,1,6,1,59,
1750,2,4,0,59,
2101,2.5,6,1,44,
1264,1.5,4,1,8,
2400,6,5,0,21,
2304,4,5,1,31,
1697,3,5,1,59,
2104,1.5,5,1,42,
1490,1.5,6,2,31,
2326,2,5,1,48,
2276,1.5,6,2,49,
2896,2,5,1,53,
660,1,2,0,59,
1383,1,4,2,55,
2146,2,5,1,53,
2386,1.5,6,1,59,
2178,2,5,1,55,
2098,3,5,1,25,
2115,2.5,7,2,18,
1858,1.5,6,2,26,
2958,3.5,7,2,15,
2016,1,5,2,2,
2228,2,5,2,30,
1535,2,5,2,30,
2323,3,5,2,30,
1513,2,5,2,30,
3955,7,7,4,9,
3955,7,7,4,9,
3955,7,7,4,9,
3235,2.5,9,3,0,
3440,3,9,3,1,
2936,2,8,3,1,
3676,3,8,2,1,
2572,3,7,2,2,
2508,3,8,3,1,
2996,2,8,3,3,
2126,2.5,6,2,3,
3208,3.5,7,2,16,
1980,2,5,1,15,
2926,3,7,2,11,
2700,3.5,6,2,11,
2875,3,7,2,8,
2984,2,7,2,8,
1814,1,5,1,31,
1828,2,5,2,30,
3180,3,7,3,7,
3252,2.5,8,2,6,
2565,2.5,7,2,7,
2814,2.5,7,2,8,
2975,3,8,2,9,
3650,3,8,2,6,
2834,3,7,2,11,
3180,3,8,3,2,
2004,2.5,6,2,2,
2163,2,4,1,38,
1619,2,6,2,3,
1752,1,4,1,50,
2446,2,5,1,59,
3356,2,5,0,50,
2710,1,5,1,53,
2018,1,5,1,59,
2100,1.5,5,1,59,
1825,1.5,6,1,59,
2048,1,6,2,9,
1828,1,7,1,19,
2407,2.5,5,2,59,
2546,1,5,1,49,
3400,2.5,7,2,59,
2224,2,5,1,55,
3122,3,6,2,49,
2590,3,5,1,4,
3216,2.5,6,2,55,
1548,1,6,2,29,
1790,2.5,6,2,17,
1790,1.5,6,2,29,
2554,3.5,6,2,23,
4168,3,7,2,0,
2928,2,5,2,16,
1144,1,4,1,59,
3244,3.5,8,2,1,
810,1,2,1,59,
3159,2.5,8,3,8,
1828,2,6,1,32,
2244,2.5,6,2,32,
3177,3,5,2,18,
4226,3,9,3,1,
3282,3,9,3,1,
2949,2.5,6,2,3,
3124,4.5,7,2,20,
2926,2.5,7,2,6,
3956,3,9,3,2,
2016,1,5,1,41,
2592,2,5,2,9,
1592,1.5,5,1,37,
1475,1.5,6,1,13,
1711,2,5,2,16,
1911,1.5,5,2,17,
2416,1.5,5,2,40,
2530,2.5,6,2,10,
2150,2.5,6,2,12,
2530,2.5,6,2,10,
2552,2.5,6,2,12,
2732,3,5,2,11,
3346,2.5,8,2,11,
2560,2,8,2,16,
2565,2.5,6,2,10,
2545,3.5,6,2,17,
2674,3,8,2,19,
3668,3.5,8,3,3,
3768,3,9,3,4,
3106,1,6,2,56,
3420,3,9,2,1,
2976,2.5,6,2,58,
3363,3,7,2,20,
2520,3,7,2,25,
4112,3,7,2,30,
